I,f0,Ql,Qi,Qc,phi,delay,npoints
0.2099999999999999,5335982736.928421,163.97824166077757,711.1547852222358,213.11935352779284,-0.15867703012841167,,901
0.21999999999999995,5331885054.766577,160.3615199393205,760.9729695529923,203.1775819604327,-0.19757855545161238,,901
0.22999999999999998,5327476153.5719795,168.4726245235258,843.4224586096369,210.52467606936523,-0.1924848954298892,,901
0.24,5244118490.723766,70060.35277095073,303670.74292129796,91071.6315382653,-0.2181593481269335,,901
0.25,5313230470.092284,148.3483216966511,649.341305216606,192.2755328036636,-0.18383716951156404,,901
0.26000000000000006,5304408652.048458,137.1123061402021,592.7813681244012,178.3698460162282,-0.16177015242499285,,901
0.2700000000000001,5292609521.288385,137.60558838703938,524.0043390602866,186.61014112524344,-0.14457463987059307,,901
0.2800000000000001,5280301507.333669,157.71487271376583,647.1102910960741,208.54081047456475,-0.14512694836145906,,901
0.29000000000000015,5269516627.460636,156.7826886073018,696.7772146474686,202.3031712447605,-0.1252468636154277,,901
0.29999999999999993,5254233726.703513,142.3261427299049,571.1752738556902,189.56124112265826,-0.13724219792074754,,901
0.30999999999999994,5227873938.677,75.23271601341253,220.50171674638202,114.1946523535599,0.013048566612436793,,901
0.31999999999999995,5218409444.109552,136.82166480975155,724.2664394647087,168.68877601574965,-0.04477597434229176,,901
0.33,5174225748.332483,62.91365451462482,146.3850198631748,110.33264554056149,0.1949798691257825,,901
0.34,5143510133.790293,95.70784490362561,242.55161645092423,158.08700800722383,0.20918197375892786,,901
0.35000000000000003,5114075220.036073,97.63728089206897,196.02117532983567,194.53361412298162,0.17111133647239,,1201
0.3600000000000001,5096722447.482762,40.26292223548385,72.73970942141581,90.17866352047267,-0.2269822433965524,,1201
0.3700000000000001,5049186635.517246,90.2496820159256,158.19576640545762,210.12421455382312,0.16120800218267722,,1201
0.3800000000000001,5031584130.271685,39.26695586508812,70.0224414715034,89.40090083486469,-0.08692495701240699,,1201
0.3900000000000002,4987698489.315239,56.61181360666609,87.71912596706929,159.63895406497997,0.052386979215551785,,1201
0.4000000000000002,4919369148.498851,50.530836169879116,72.04674578849036,169.20420156729207,0.240551280782024,,1201
0.41,4907150528.794992,56.1551643036318,84.33160118215227,168.07146129900502,-0.015426888808318296,,1201
0.4199999999999998,4882451470.794694,54.16811048852238,81.94392066688508,159.80622419447263,0.061976501079742494,,1201
0.4299999999999998,4868237924.732993,41.180635723939886,63.36100199955062,117.63765800912029,0.14023516631895142,,1201
0.4399999999999999,4862204760.343534,50.05572158844078,78.05411999649957,139.54567123564334,0.02554118897811833,,1201
0.4499999999999999,4860872050.509163,52.290688740128644,80.97144046535234,147.62696706062619,0.06833196820412597,,1201
